local-authority-code_A,local-authority-code_B,distance,match,position
BDF,CBF,0.11820820655266391,96.89999999999999,1.0
BBD,LAN,1.2396138328984079,53.900000000000006,156.0
BBD,RIB,0.1360244053114042,94.89999999999999,7.0
BBD,BUR,0.11203145823717504,95.8,4.0
BBD,ROS,0.1172048497768238,95.6,5.0
BBD,LEC,0.5142106944689003,80.9,47.0
BBD,CHO,0.1075319381353353,96.0,3.0
BBD,HYN,0.06182518237213735,97.7,1.0
BBD,BOL,0.07185202088271776,97.3,2.0
BBD,SRI,0.14354109255817693,94.69999999999999,9.0
BPL,FYL,0.06923702145387549,97.6,1.0
BPL,WYR,0.11935135220605209,95.89999999999999,2.0
BPL,LAN,1.5582816876758843,46.0,194.0
BGW,CAY,0.07194880042298261,97.6,1.0
BGW,TOF,0.0955254635090184,96.89999999999999,2.0
BGW,POW,0.37286539372654703,87.7,15.0
BGW,MON,0.1997225969718935,93.4,7.0
BPC,HRT,0.8430718665924402,78.7,48.0
BPC,DST,0.28381829084009175,92.80000000000001,2.0
BPC,NEW,0.17589298214012347,95.6,1.0
BRC,WNM,0.05446016325524364,98.7,2.0
BRC,SRY,0.13423637371374122,96.7,10.0
BRC,WOK,0.09002489200613964,97.8,5.0
BRC,HAM,0.3377807678500779,91.60000000000001,39.0
BRC,HAT,0.12367592703411388,96.89999999999999,8.0
BRC,SUR,0.05972812754152966,98.5,3.0
VGL,BGE,0.14108151479840172,95.6,3.0
VGL,CRF,0.12987086680024992,95.89999999999999,1.0
VGL,RCT,0.13111581638261838,95.89999999999999,2.0
CAY,BGW,0.07194880042298261,97.7,1.0
CAY,CRF,0.09130077648655144,97.1,2.0
CAY,POW,0.43871317031790813,85.9,19.0
CAY,RCT,0.1414792637116831,95.39999999999999,5.0
CAY,NWP,0.15674126031774058,94.89999999999999,6.0
CAY,TOF,0.09751759668854944,96.89999999999999,3.0
CAY,MTY,0.10969776197307923,96.5,4.0
NWP,CAY,0.15674126031774058,95.1,6.0
NWP,TOF,0.09610916105426157,97.0,1.0
NWP,CRF,0.15240352114074393,95.19999999999999,5.0
NWP,MON,0.13025001513785026,95.89999999999999,2.0
NTL,POW,0.457569473223086,85.6,15.0
NTL,BGE,0.11622927116931947,96.39999999999999,1.0
NTL,RCT,0.189252082514566,94.1,2.0
NTL,SWA,0.19690009735449507,93.8,3.0
NTL,CMN,0.2886963102459614,90.9,6.0
CBF,DAC,0.15640017447699378,96.0,4.0
CBF,KEN,0.4538710019122669,88.3,72.0
CBF,HUN,0.2632749254901884,93.2,13.0
CBF,BUC,0.2660789100756463,93.2,15.0
CBF,CAM,0.3646256967805939,90.60000000000001,38.0
CBF,NHE,0.15190652288163572,96.1,3.0
CBF,LUT,0.07129917166117544,98.2,1.0
CBF,SCA,0.32901220230985256,91.60000000000001,26.0
CBF,SAL,0.15966546043682667,95.89999999999999,5.0
CBF,BDF,0.11820820655266391,97.0,2.0
CBF,MIK,0.1879713399238577,95.19999999999999,7.0
CHE,CHW,0.22880161204044416,91.5,10.0
CHE,SHR,0.4143667921444874,84.6,40.0
CHE,STS,0.33419809244217125,87.6,25.0
CHE,SKP,0.18824066990086125,93.0,6.0
CHE,TRF,0.15050092397378448,94.39999999999999,3.0
CHE,NEC,0.11931883071651844,95.6,1.0
CHE,SFK,1.4146227069041788,47.5,211.0
CHE,HIG,0.30659058411622087,88.6,21.0
CHE,WRT,0.1863113191658464,93.10000000000001,5.0
CHE,DBY,0.4695639443543785,82.6,52.0
CHE,MAN,0.18472676764908966,93.10000000000001,4.0
CHE,STF,0.22759262361248153,91.5,9.0
CHW,FLN,0.2530503802879905,90.7,11.0
CHW,WRL,0.2348882760602398,91.3,10.0
CHW,SHR,0.3563086567868619,86.8,25.0
CHW,LIV,0.16225913107343498,94.0,4.0
CHW,WRX,0.21453379859593552,92.10000000000001,7.0
CHW,WRT,0.16201048142812782,94.0,3.0
CHW,CHE,0.22880161204044416,91.60000000000001,9.0
CHW,HAL,0.09117529434240193,96.6,1.0
BST,CRF,0.265788153821803,92.0,11.0
BST,BAS,0.19171178770238134,94.19999999999999,4.0
BST,NSM,0.04431899050226572,98.7,1.0
BST,WECA,0.12232607957637473,96.3,2.0
BST,SGC,0.1944815925963012,94.1,5.0
BST,MON,0.20059745944623372,94.0,6.0
DER,AMB,0.07355495884364828,97.6,1.0
DER,SDE,0.07461825627296496,97.6,3.0
DER,ERE,0.07380849882887482,97.6,2.0
DER,DBY,0.12435831150219696,95.89999999999999,5.0
KHL,ERY,0.11073015877422657,96.8,1.0
LCE,CHA,0.06346866192258142,98.1,2.0
LCE,BLA,0.06964819893942241,97.89999999999999,3.0
LCE,HAO,0.09588764234128923,97.1,4.0
LCE,OAD,0.03851091771365826,98.8,1.0
LCE,LEC,0.5287287618908522,84.0,54.0
NGM,RUS,0.09125173604277204,97.1,3.0
NGM,BRT,0.05200739120829872,98.4,1.0
NGM,GED,0.05433728072145341,98.3,2.0
NGM,ASH,0.09687648850204925,97.0,4.0
NGM,NTT,0.1868937711026358,94.19999999999999,12.0
PTE,SKE,0.22391135628255043,94.1,6.0
PTE,FEN,0.19137669553255746,95.0,4.0
PTE,HUN,0.14987149225249655,96.0,2.0
PTE,CPCA,0.2208898866610875,94.19999999999999,5.0
PTE,CAM,0.26506786399330534,93.0,10.0
PTE,SHO,0.1759193015375403,95.39999999999999,3.0
PTE,LIN,0.26372686324823885,93.0,9.0
PTE,NNT,0.2502099434942059,93.4,8.0
STH,HRT,0.533590955533482,86.6,28.0
STH,TES,0.15073365191336768,96.2,5.0
STH,NEW,0.1454436736471944,96.39999999999999,4.0
STH,EAT,0.04560083499317212,98.9,1.0
STE,STS,0.1894848358199808,93.30000000000001,5.0
STE,NEC,0.09317914593982488,96.7,1.0
STE,SFK,1.280281373713454,54.900000000000006,201.0
STE,STF,0.11558109801295081,95.89999999999999,3.0
STE,STA,0.10731980422892132,96.2,2.0
CLK,FIF,0.3441236142691613,91.60000000000001,10.0
CLK,FAL,0.10086112878250482,97.5,1.0
CLK,STG,0.33259680566789507,91.9,7.0
CLK,PKN,0.2641749151132681,93.5,4.0
CWY,GWN,0.23391958484604383,92.30000000000001,2.0
CWY,DEN,0.2278774819395116,92.5,1.0
SFT,WRL,0.13295313226877836,95.3,4.0
SFT,LIV,0.12102294769555569,95.7,3.0
SFT,LAN,1.4725107932000616,47.599999999999994,183.0
SFT,KWL,0.13755196291284508,95.1,5.0
SFT,LCR,0.11619277757316662,95.89999999999999,2.0
SFT,WLA,0.08294231274920365,97.0,1.0
SHF,NED,0.12804467657332133,95.6,3.0
SHF,BNS,0.0834651985495078,97.1,1.0
SHF,SCR,0.11650285169986149,96.0,2.0
SHF,DEB,0.1932840416944119,93.30000000000001,10.0
SHF,HIG,0.1916876583837016,93.4,9.0
SHF,DBY,0.2000584014213951,93.10000000000001,11.0
SHF,ROT,0.15569546914739368,94.6,6.0
SOL,STR,0.16080549718098686,95.0,8.0
SOL,WAW,0.10798627813149793,96.7,3.0
SOL,BIR,0.10099361079279114,96.89999999999999,1.0
SOL,BRM,0.17722276192574082,94.5,10.0
SOL,WMCA,0.11996103550595198,96.3,4.0
SOL,WOR,0.2384275803821469,92.7,15.0
SOL,NWA,0.10335762855480247,96.8,2.0
SOL,COV,0.12499735776858525,96.2,5.0
SOL,WAR,0.6307145203476173,80.60000000000001,72.0
STY,NTY,0.05830960224653514,98.1,2.0
STY,SND,0.05256826478874767,98.3,1.0
STY,NECA,0.10885025700827333,96.5,3.0
STY,GAT,0.1365306549644506,95.6,5.0
STY,NET,0.12444783003375484,96.0,4.0
SKP,DBY,0.38580228450196224,85.39999999999999,37.0
SKP,GMCA,0.11170123319737935,95.8,4.0
SKP,TAM,0.06522550264630166,97.5,1.0
SKP,HIG,0.15043128385532373,94.3,7.0
SKP,CHE,0.18824066990086125,92.9,10.0
SKP,MAN,0.07132190291817449,97.3,2.0
SHN,LAN,1.290223199011168,52.7,170.0
SHN,KWL,0.06873069550307283,97.5,1.0
SHN,LCR,0.09661409226010433,96.5,4.0
SHN,WLA,0.13218527744577865,95.19999999999999,7.0
SHN,WRT,0.1013933341831978,96.3,5.0
SHN,WGN,0.08908972884069964,96.7,3.0
SHN,HAL,0.07298259410719926,97.3,2.0
SND,STY,0.05256826478874767,98.3,1.0
SND,DUR,0.24950752376538038,91.9,11.0
SND,NECA,0.08735094275470012,97.2,2.0
SND,GAT,0.13592825716156165,95.6,4.0
TAM,SKP,0.06522550264630166,97.5,2.0
TAM,GMCA,0.12493657829651414,95.19999999999999,5.0
TAM,OLD,0.047455607636402976,98.2,1.0
TAM,HIG,0.12931338022510164,95.0,6.0
TAM,DBY,0.38422016661835184,85.2,32.0
TAM,MAN,0.10122903080566814,96.1,3.0
TRF,GMCA,0.07499213027741133,97.1,2.0
TRF,WRT,0.12345037801071407,95.3,6.0
TRF,CHE,0.15050092397378448,94.3,8.0
TRF,SLF,0.04527760149119827,98.3,1.0
TRF,MAN,0.07524354989782908,97.1,3.0
WKF,BNS,0.10550829323300594,96.39999999999999,1.0
WKF,SEL,0.17992247594929414,93.89999999999999,6.0
WKF,DNC,0.2000145744600709,93.2,8.0
WKF,KIR,0.20691709708765288,93.0,9.0
WKF,WYCA,0.17650013301057885,94.0,5.0
WKF,NYK,0.30264960908331384,89.7,16.0
WKF,LDS,0.11808076482784426,96.0,2.0
WLL,SST,0.12736385988423513,95.8,9.0
WLL,CAN,0.07178753710125559,97.7,2.0
WLL,LIF,0.11179296174367474,96.39999999999999,7.0
WLL,STS,0.10020477700132874,96.7,6.0
WLL,BIR,0.08890625920614861,97.1,4.0
WLL,WMCA,0.07258052399847824,97.6,3.0
WLL,WLV,0.09306813860099628,97.0,5.0
WLL,SAW,0.058711528690540866,98.1,1.0
SLF,GMCA,0.05873895225637097,97.8,2.0
SLF,BUR,0.07074412354963011,97.3,3.0
SLF,TRF,0.04527760149119827,98.3,1.0
SLF,WGN,0.13062485564817772,95.0,7.0
SLF,BOL,0.07970007229270205,97.0,4.0
SLF,WRT,0.12774346671978243,95.1,6.0
SLF,MAN,0.08438417248340598,96.8,5.0
SAW,DUD,0.06345647224920202,97.89999999999999,2.0
SAW,BIR,0.08249580673833172,97.3,5.0
SAW,WMCA,0.0640624534459427,97.89999999999999,3.0
SAW,WLL,0.058711528690540866,98.1,1.0
SAW,WLV,0.08178081746723741,97.3,4.0
HEF,SHR,0.33508642851306086,88.7,7.0
HEF,POW,0.42415161736299345,85.7,18.0
HEF,WOR,0.5312636073335056,82.0,32.0
HEF,FOE,0.23179415136069584,92.2,2.0
HEF,MAV,0.24822537480225149,91.60000000000001,3.0
HEF,GLS,1.2266449169925517,58.5,171.0
HEF,MON,0.2309930797761652,92.2,1.0
DAL,DUR,0.18900633179230758,93.60000000000001,4.0
DAL,TVCA,0.1591352114119326,94.6,2.0
DAL,NYK,0.26394299076119593,91.0,11.0
DAL,STT,0.12842029655930093,95.6,1.0
DAL,RIH,0.2487375157069438,91.5,9.0
DAL,HAE,0.21362773189592632,92.7,7.0
DND,ANS,0.15863260311594676,96.1,1.0
DND,PKN,0.46524110107365463,88.4,6.0
EAY,ERW,0.17036060779201437,95.7,1.0
EAY,DGY,0.32426916554433227,91.9,8.0
EAY,SLK,0.29500484496619594,92.60000000000001,5.0
EAY,SAY,0.25497681907353725,93.60000000000001,3.0
EAY,NAY,0.3831733654321482,90.4,11.0
EDU,WDU,0.16200108026006532,96.1,4.0
EDU,NLK,0.16059718412387042,96.1,3.0
EDU,STG,0.19066223613420677,95.39999999999999,6.0
EDU,GLG,0.06425470480352662,98.5,1.0
ERW,EAY,0.17036060779201437,95.89999999999999,5.0
ERW,SLK,0.31609984453951495,92.30000000000001,9.0
ERW,RFW,0.11638427966075857,97.2,2.0
ERW,NAY,0.35411168895273,91.4,10.0
ERW,GLG,0.09003300241011417,97.8,1.0
ERY,NLN,0.18306926566009155,94.69999999999999,2.0
ERY,SEL,0.3831308966541237,88.8,8.0
ERY,DNC,0.4100360044670683,88.1,10.0
ERY,YOR,0.34280830907505827,90.0,7.0
ERY,NYK,0.6171290584087206,82.0,25.0
ERY,RYE,0.3070248111421904,91.10000000000001,5.0
ERY,KHL,0.11073015877422657,96.8,1.0
ERY,NTT,0.5185365811082897,84.89999999999999,14.0
ERY,SCE,0.3281396624587779,90.4,6.0
FAL,CLK,0.10086112878250482,97.5,1.0
FAL,NLK,0.11805291953229759,97.1,2.0
FAL,WLN,0.13804349467378227,96.6,3.0
FAL,STG,0.3367247481912481,91.60000000000001,8.0
GLG,NLK,0.16973511916889011,95.89999999999999,5.0
GLG,ERW,0.09003300241011417,97.8,2.0
GLG,SLK,0.2872832321656117,93.0,10.0
GLG,EDU,0.06425470480352662,98.4,1.0
GLG,WDU,0.1647424910604651,96.0,4.0
GLG,RFW,0.16106336499118964,96.1,3.0
HAL,CHW,0.09117529434240193,96.6,3.0
HAL,LIV,0.12102002123215212,95.5,6.0
HAL,KWL,0.08471012179140418,96.89999999999999,2.0
HAL,SHN,0.07298259410719926,97.3,1.0
HAL,LCR,0.10968343134952474,95.89999999999999,5.0
HAL,WRT,0.09813880567827071,96.39999999999999,4.0
SHR,CHW,0.3563086567868619,87.4,7.0
SHR,WYE,0.318901009163572,88.8,3.0
SHR,SST,0.33431408160804654,88.2,4.0
SHR,STS,0.43291526597979724,84.7,15.0
SHR,WRX,0.27941931889773364,90.10000000000001,2.0
SHR,POW,0.4540876519470434,84.0,19.0
SHR,HEF,0.33508642851306086,88.2,5.0
SHR,MAV,0.3679753417802712,87.0,9.0
SHR,NEC,0.3365373995152623,88.1,6.0
SHR,WOR,0.6331539050599846,77.7,55.0
SHR,TFW,0.15919391474727276,94.39999999999999,1.0
SHR,CHE,0.4143667921444874,85.39999999999999,12.0
SHR,STA,0.36041991011907226,87.3,8.0
DEN,FLN,0.1393208747806769,95.19999999999999,1.0
DEN,WRX,0.20889601863184223,92.80000000000001,2.0
DEN,POW,0.48606398356689334,83.3,15.0
DEN,GWN,0.42024266316856357,85.6,11.0
DEN,CWY,0.2278774819395116,92.2,3.0
CMN,NTL,0.2886963102459614,91.5,3.0
CMN,CGN,0.2326487741335685,93.2,2.0
CMN,POW,0.5348870827416192,84.3,8.0
CMN,PEM,0.443836027911999,86.9,5.0
CMN,SWA,0.17274296283614027,94.89999999999999,1.0
FLN,WRX,0.16635381077410108,94.19999999999999,3.0
FLN,CHW,0.2530503802879905,91.2,8.0
FLN,WRL,0.10416666224479773,96.39999999999999,1.0
FLN,DEN,0.1393208747806769,95.1,2.0
SLG,WNM,0.07089444869928403,98.3,1.0
SLG,BUC,0.22424118445221913,94.5,25.0
SLG,SRY,0.10772743378675517,97.3,6.0
SLG,SPE,0.09066909437062616,97.8,5.0
SLG,HIL,0.08853893329699805,97.8,3.0
SOS,CAS,0.08235112042265917,98.2,2.0
SOS,ROC,0.0589078540558646,98.7,1.0
SOS,ESS,0.20967122594747642,95.5,9.0
SGC,BAS,0.12033275158884707,96.39999999999999,2.0
SGC,BST,0.1944815925963012,94.19999999999999,5.0
SGC,COT,0.3929625481306357,88.3,19.0
SGC,FOE,0.17777032811758897,94.69999999999999,4.0
SGC,WIL,0.3599461071789326,89.2,14.0
SGC,STO,0.15574242129882063,95.3,3.0
SGC,WECA,0.08682851066801534,97.39999999999999,1.0
SGC,GLS,1.071804474248121,68.0,113.0
SGC,MON,0.2762681636474907,91.7,9.0
SLK,EAY,0.29500484496619594,92.30000000000001,5.0
SLK,NLK,0.18051508495216168,95.3,1.0
SLK,ERW,0.31609984453951495,91.8,7.0
SLK,DGY,0.35381898436707004,90.8,9.0
SLK,WLN,0.21888673976937437,94.3,2.0
SLK,SCB,0.571010266924483,85.2,18.0
SLK,GLG,0.2872832321656117,92.5,4.0
STG,NLK,0.3134607037679932,92.7,6.0
STG,FAL,0.3367247481912481,92.2,9.0
STG,PKN,0.3547243026618077,91.8,10.0
STG,EDU,0.19066223613420677,95.6,1.0
STG,WDU,0.19326715055702137,95.5,2.0
STG,AGB,0.647108999582391,85.0,16.0
STG,CLK,0.33259680566789507,92.30000000000001,8.0
STT,DUR,0.3045382536899868,89.9,11.0
STT,TVCA,0.031175601442028706,99.0,1.0
STT,NYK,0.28784010399441246,90.4,10.0
STT,RCC,0.1763201722262352,94.1,6.0
STT,MDB,0.0625238499516647,97.89999999999999,2.0
STT,HPL,0.07873724242871877,97.39999999999999,3.0
STT,DAL,0.12842029655930093,95.7,4.0
STT,HAE,0.17414339655526406,94.19999999999999,5.0
SWD,VAL,0.18943902963065098,94.69999999999999,2.0
SWD,COT,0.17954579744721694,95.0,1.0
SWD,WIL,0.2124152136350121,94.0,3.0
SWD,GLS,0.6335402304690396,82.19999999999999,59.0
SWD,OXF,0.4141381024904046,88.4,16.0
TFW,STS,0.2796002089195526,90.0,9.0
TFW,STA,0.20122757621582862,92.80000000000001,4.0
TFW,SST,0.19801875732172403,92.9,3.0
TFW,SHR,0.15919391474727276,94.3,1.0
BNH,LEE,0.08900396498045898,98.0,1.0
BNH,HOR,0.17518524740694588,96.2,5.0
BNH,ADU,0.10323042601501108,97.7,2.0
BNH,MSS,0.1118013731107053,97.5,3.0
BNH,ESX,0.2807849156573889,93.8,14.0
BNH,WOR,1.3247495072155369,70.89999999999999,170.0
BNH,WSX,0.18121071494983684,96.0,7.0
THR,BRW,0.09307896006588567,97.89999999999999,5.0
THR,GRA,0.0654175521760245,98.5,1.0
THR,BEX,0.1441134595495042,96.7,9.0
THR,KEN,0.17177144578169112,96.1,13.0
THR,ESS,0.08592873536983815,98.1,3.0
THR,BAI,0.07685011448451581,98.3,2.0
THR,MDW,0.13249723181631418,97.0,7.0
THR,DAR,0.08642531223039714,98.0,4.0
THR,HAV,0.1015716116906997,97.7,6.0
THR,CAS,0.1368979631854507,96.89999999999999,8.0
TOF,CAY,0.09751759668854944,96.89999999999999,3.0
TOF,BGW,0.0955254635090184,96.89999999999999,1.0
TOF,NWP,0.09610916105426157,96.89999999999999,2.0
TOF,MON,0.12031549805419821,96.1,4.0
TOB,SHA,0.18995578978361538,95.0,3.0
TOB,TEI,0.1300007565000457,96.6,1.0
TOB,DEV,0.5330098874495462,86.1,11.0
WRT,CHW,0.16201048142812782,93.8,8.0
WRT,SHN,0.1013933341831978,96.1,3.0
WRT,TRF,0.12345037801071407,95.3,4.0
WRT,WGN,0.08035700906696913,96.89999999999999,1.0
WRT,CHE,0.1863113191658464,92.9,11.0
WRT,SLF,0.12774346671978243,95.1,6.0
WRT,HAL,0.09813880567827071,96.3,2.0
WBK,HRT,0.36287127515962875,90.4,20.0
WBK,TES,0.23838795719726683,93.7,6.0
WBK,VAL,0.14424118381422144,96.2,2.0
WBK,BAN,0.1286013892318987,96.6,1.0
WBK,RDG,0.19745353545782388,94.8,5.0
WBK,WOK,0.25957026931351285,93.10000000000001,7.0
WBK,WIL,0.4060359466542338,89.3,26.0
WBK,SOX,0.18341515016357385,95.1,3.0
WBK,OXF,0.36409486195108565,90.4,21.0
WDU,EDU,0.16200108026006532,96.2,3.0
WDU,RFW,0.08813051790077997,97.89999999999999,1.0
WDU,IVC,0.1361922472874414,96.8,2.0
WDU,AGB,0.5471866023030724,87.2,16.0
WDU,STG,0.19326715055702137,95.5,6.0
WDU,GLG,0.1647424910604651,96.2,4.0
WLN,NLK,0.20788917246663435,94.69999999999999,4.0
WLN,FAL,0.13804349467378227,96.5,1.0
WLN,SLK,0.21888673976937437,94.39999999999999,5.0
