local-authority-code,label
ABC,Northern Ireland
ABD,Scotland
ABE,Scotland
ADU,South East
AGB,Scotland
AGY,Wales
ALL,North West
AMB,East Midlands
AND,Northern Ireland
ANN,Northern Ireland
ANS,Scotland
ARU,South East
ASF,South East
ASH,East Midlands
BAB,East of England
BAE,East Midlands
BAI,East of England
BAN,South East
BAR,North West
BAS,South West
BBD,North West
BDF,East of England
BDG,London
BEN,London
BEX,London
BFS,Northern Ireland
BGE,Wales
BGW,Wales
BIR,West Midlands
BLA,East Midlands
BNE,London
BNH,South East
BNS,Yorkshire and The Humber
BOL,North West
BOS,East Midlands
BOT,East Midlands
BPC,South West
BPL,North West
BRA,East of England
BRC,South East
BRD,Yorkshire and The Humber
BRE,East of England
BRM,West Midlands
BRO,East of England
BRT,East Midlands
BRW,East of England
BRX,East of England
BRY,London
BST,South West
BUC,South East
BUN,North West
BUR,North West
CAB,East of England
CAM,East of England
CAN,West Midlands
CAR,North West
CAS,East of England
CAT,South East
CAY,Wales
CBF,East of England
CCG,Northern Ireland
CGN,Wales
CHA,East Midlands
CHE,North West
CHI,South East
CHL,East of England
CHO,North West
CHR,South East
CHS,East Midlands
CHT,South West
CHW,North West
CLD,Yorkshire and The Humber
CLK,Scotland
CMA,North West
CMD,London
CMN,Wales
COL,East of England
CON,South West
COP,North West
COT,South West
COV,West Midlands
CPCA,East of England
CRA,Yorkshire and The Humber
CRF,Wales
CRW,South East
CRY,London
CWY,Wales
DAC,East of England
DAL,North East
DAR,South East
DBY,West Midlands
DEB,East Midlands
DEN,Wales
DER,East Midlands
DEV,South West
DGY,Scotland
DNC,Yorkshire and The Humber
DND,Scotland
DOV,South East
DRS,Northern Ireland
DST,South West
DUD,West Midlands
DUR,North East
EAL,London
EAS,South East
EAT,South East
EAY,Scotland
ECA,East of England
EDE,South West
EDH,Scotland
EDN,North West
EDU,Scotland
EHA,South East
EHE,East of England
ELI,East Midlands
ELM,South East
ELN,Scotland
ELS,Scotland
ENF,London
EPP,East of England
EPS,South East
ERE,East Midlands
ERW,Scotland
ERY,Yorkshire and The Humber
ESK,East of England
ESS,East of England
EST,West Midlands
ESX,South East
EXE,South West
FAL,Scotland
FAR,South East
FEN,East of England
FIF,Scotland
FLN,Wales
FMO,Northern Ireland
FOE,South West
FYL,North West
GAT,North East
GED,East Midlands
GLA,London
GLG,Scotland
GLO,South West
GLS,South West
GMCA,North West
GOS,South East
GRA,South East
GRE,London
GRT,South East
GRY,East of England
GWN,Wales
HAA,South East
HAE,Yorkshire and The Humber
HAG,Yorkshire and The Humber
HAL,North West
HAM,South East
HAO,East Midlands
HAR,East of England
HAS,South East
HAT,South East
HAV,London
HCK,London
HEF,West Midlands
HER,East of England
HIG,East Midlands
HIL,London
HIN,East Midlands
HLD,Scotland
HMF,London
HNS,London
HOR,South East
HPL,North East
HRT,East of England
HRW,London
HRY,London
HUN,East of England
HYN,North West
IOS,South West
IOW,South East
IPS,East of England
ISL,London
IVC,Scotland
KEC,London
KEN,South East
KHL,Yorkshire and The Humber
KIN,East of England
KIR,Yorkshire and The Humber
KTT,London
KWL,North West
LAC,North West
LAN,North West
LBC,Northern Ireland
LBH,London
LCE,East Midlands
LCR,North West
